datetime,tinggi_pasut,u_arus,v_arus,mag_arus,Hs_gelombang,Tp_gelombang,kec_angin,arah_angin,angin_sin,angin_cos,curah_hujan,jam_sin,jam_cos,bulan_sin,bulan_cos,konsentrasi_plastik
2025-01-01 00:00:00,0.25,0.5089,0.2616,0.5722,1.242,5.94,7.21,324.2,-0.5853,0.8108,9.4,0.0,1.0,0.5,0.866,385.72
2025-01-01 01:00:00,1.029,0.3583,0.4007,0.5376,1.211,6.43,6.85,317.6,-0.6741,0.7386,4.7,0.2588,0.9659,0.5,0.866,313.85
2025-01-01 02:00:00,1.625,0.1982,0.3937,0.4408,1.174,5.39,6.7,283.8,-0.971,0.2392,3.13,0.5,0.866,0.5,0.866,231.6
2025-01-01 03:00:00,1.841,0.0419,0.4191,0.4212,1.218,5.52,7.04,348.7,-0.1963,0.9805,5.31,0.7071,0.7071,0.5,0.866,270.47
2025-01-01 04:00:00,1.509,-0.2155,0.1766,0.2786,1.163,5.88,8.1,296.4,-0.8955,0.4451,13.88,0.866,0.5,0.5,0.866,296.96
2025-01-01 05:00:00,0.92,-0.4083,0.1054,0.4217,1.195,5.39,6.71,326.0,-0.5588,0.8293,13.88,0.9659,0.2588,0.5,0.866,359.19
2025-01-01 06:00:00,0.231,-0.4271,-0.1172,0.4429,1.197,5.12,7.63,291.3,-0.9316,0.3635,8.57,1.0,0.0,0.5,0.866,369.28
2025-01-01 07:00:00,-0.577,-0.4184,-0.2193,0.4724,1.177,5.3,7.21,17.0,0.2932,0.9561,0.0,0.9659,-0.2588,0.5,0.866,510.61
2025-01-01 08:00:00,-1.202,-0.2735,-0.2937,0.4013,1.304,6.09,6.8,348.1,-0.2058,0.9786,0.0,0.866,-0.5,0.5,0.866,507.67
2025-01-01 09:00:00,-1.372,-0.0238,-0.2565,0.2576,1.258,6.47,6.75,295.6,-0.9015,0.4327,0.0,0.7071,-0.7071,0.5,0.866,472.01
2025-01-01 10:00:00,-1.253,0.1644,-0.129,0.209,1.349,6.6,7.05,317.2,-0.6793,0.7339,0.0,0.5,-0.866,0.5,0.866,425.1
2025-01-01 11:00:00,-0.75,0.4308,0.053,0.4341,1.309,7.01,7.25,289.3,-0.944,0.33,0.0,0.2588,-0.9659,0.5,0.866,369.83
2025-01-01 12:00:00,-0.018,0.4313,0.2019,0.4762,1.279,6.23,8.78,306.1,-0.808,0.5892,4.09,0.0,-1.0,0.5,0.866,393.12
